wavelet_mean,sample_entropy,shannon_entropy,rms
7.495105090971893e-06,1.022034998346067,0.5511456107594122,8.192511926014235e-06
7.314706628841926e-06,1.026334218613449,0.5696273000277711,8.314819415225674e-06
7.958107619978127e-06,1.004068666899522,0.5393059169271069,9.090105404035402e-06
7.606607748580873e-06,1.141301750020854,0.6420594934333451,7.490204325687578e-06
9.199168377618054e-06,0.9033855431284971,0.5180745587331276,1.014697611118919e-05
8.088210128412088e-06,1.090488601674398,0.5932756230082175,8.38557940633047e-06
9.21834169589506e-06,0.9663636265051985,0.5583706707565971,9.397225621553982e-06
9.931914378530304e-06,0.8280343436105395,0.4807298672234753,1.103390080301066e-05
9.220596543002992e-06,0.8993501796272286,0.5533596162472494,1.001246965811922e-05
8.437539703590123e-06,0.9534506236460255,0.5441915761480738,9.002883118638492e-06
1.036820972527281e-05,0.8159266918146547,0.4771798263048984,1.129739846312161e-05
1.035977288623963e-05,0.7938745129952361,0.4582633277364019,1.165889856268248e-05
1.019083327579555e-05,0.9276114802548524,0.5631743794943851,1.002081618155376e-05
1.032164725584808e-05,0.9223500890518082,0.5229556494784089,1.022646842990127e-05
1.058512032278142e-05,0.8217974436911142,0.4789953627040752,1.146978651771829e-05
9.782917454068558e-06,0.8276378120565105,0.499677490535763,1.094723184418567e-05
9.155872626730984e-06,0.8234432142775858,0.4929831746251747,1.17798525636506e-05
1.114197943153621e-05,0.7648655956404626,0.4484073467395263,1.274807948216447e-05
9.83609161607728e-06,0.862286499337303,0.5026782345161972,1.083114988449013e-05
9.84653668991509e-06,0.80706521336498,0.498554348005282,1.137319459318431e-05
8.112502828588567e-06,1.035317726555891,0.5849313899778652,8.472552175394134e-06
8.665314794382919e-06,0.9638458119860809,0.6311851179050566,9.377061136769755e-06
4.909972449256869e-06,1.389718416019681,0.7322602575229036,5.388606402265431e-06
5.492461227192286e-06,1.164312847146234,0.6193010130011678,6.440772722516055e-06
6.330066544929566e-06,1.018494058781227,0.5329263233068574,7.441557449297511e-06
1.653940305263584e-05,0.2643296898425176,0.623202464097744,2.630289857053698e-05
2.477641300561313e-05,0.1982321346596421,0.6629365104677721,3.372376527684504e-05
1.786677629459322e-05,0.1165573536573521,0.5355973342845762,3.591111344150491e-05
7.238224399592847e-06,0.8020442770763334,0.7615125288437479,1.03801928938878e-05
8.748175191210534e-06,0.6775336524174781,0.5911248227184168,1.170207688626085e-05
8.07645578623637e-06,0.799695328241606,0.5508804578148615,1.04580146078356e-05
7.874082904688619e-06,0.679955049236862,0.4669893752399146,1.130453055213729e-05
8.79510631159668e-06,0.6059583072968133,0.4387111830192033,1.244069302082744e-05
1.448917379004811e-05,0.3474790435230235,0.5060730091542169,2.003085856601646e-05
1.640045018748705e-05,0.3430213274145596,0.6303553693130548,2.087416217953134e-05
1.088630985258759e-05,0.4416136953760259,0.6315133114273502,1.608096060054023e-05
5.700838916007687e-06,1.041870157970197,0.5168954806926793,6.814512618620748e-06
1.701403835579265e-05,0.250714177769412,0.7293323725023084,2.886654551330273e-05
1.924804598504136e-05,0.212035942096941,0.7674062134978964,3.137465505324329e-05
7.790529696995982e-06,0.6298765778004838,0.4111242435218458,1.143135304166369e-05
7.570399231492874e-06,0.7233597039733298,0.4467774785053689,1.038116010678682e-05
8.14252192170963e-06,0.6896618691839196,0.4434261003894017,1.07640948217693e-05
7.185918679767588e-06,0.9178677792281089,0.5061533876293226,7.5137388213066e-06
7.40273753130054e-06,0.8319499202037249,0.4889710405883301,8.226739235928727e-06
9.084457835294292e-06,0.6308544973649816,0.4208705399476433,1.171467575522348e-05
9.118169505888604e-06,0.6380757065209126,0.4303637423524048,1.143698763656362e-05
7.041492136243473e-06,1.011120948221158,0.5883602900037951,7.322484600597429e-06
6.677541156642185e-06,1.024090274792095,0.5842223329087557,7.329783864307822e-06
7.761660774499623e-06,0.954766122313697,0.6060089286972659,8.545881170492772e-06
9.554160198971424e-06,0.668928804162988,0.4554244273972851,1.147931483228021e-05
8.911067448127582e-06,0.7617736416797205,0.4693629891957134,1.045226418562959e-05
8.524061589442452e-06,0.8460077022534421,0.5503635080545322,9.102106066035285e-06
7.899137677475715e-06,0.9792620085190534,0.6130481023302482,8.00940354932301e-06
7.413870810477069e-06,1.045092263983804,0.6426337535748069,7.502687031081049e-06
9.963135688733147e-06,0.652386614391563,0.5957345004151415,1.138586408203515e-05
9.105023809485664e-06,0.7908921413913883,0.5096333447355834,9.72223124871515e-06
1.256606481243199e-05,0.4975018408323759,0.7371391894978542,1.596910263800108e-05
9.12731525142298e-06,0.7150804917607632,0.4623022349859394,1.053255009883807e-05
8.732801941859383e-06,0.794570447513576,0.4966738730753045,9.839315526072616e-06
9.217777280446695e-06,0.8340693212708675,0.510018972142949,9.518397015984742e-06
7.7518727603023e-06,0.9725714917395513,0.5729069835048437,8.098179341040412e-06
8.40849169492563e-06,0.9509925339843551,0.5687728633512952,8.580426634441207e-06
8.531016699242692e-06,0.9131021186623213,0.5510371727123352,8.838298287462678e-06
9.883642145749907e-06,0.7426992499102755,0.4361510110492724,1.134682517701902e-05
9.741425741337943e-06,0.7547607397786951,0.4637797065008301,1.066586285829771e-05
8.199158057978344e-06,0.9795695300936845,0.5636138688554281,8.161711095889788e-06
6.95125953632771e-06,1.136633804269966,0.6285561444448653,6.971628980944518e-06
8.976179965273327e-06,0.8974127323053733,0.5040740237300574,9.610094676553137e-06
1.128933993577949e-05,0.6879637603451628,0.4725753800933137,1.256381614932781e-05
9.922826733633337e-06,0.7589276354061423,0.4524918801010063,1.149738640404664e-05
9.718834767169718e-06,0.8157000782545902,0.4831236944514622,1.094744434294424e-05
1.192700051604406e-05,0.6500721206214989,0.4163794166956115,1.321753470009554e-05
1.442574207085823e-05,0.5167032627988958,0.4115034590390492,1.642165527557243e-05
1.291545845831497e-05,0.5979037849069885,0.4260579149380116,1.421034358112813e-05
9.904497403594757e-06,0.812842393746763,0.4985687996910705,1.007924099534017e-05
1.093603546612129e-05,0.706152931495283,0.410876464250519,1.217987632187286e-05
1.434544913803532e-05,0.5493897810489156,0.3858974891557169,1.609938670463539e-05
1.023894981477235e-05,0.5939040638605134,0.4170951699716363,1.185742637635376e-05
9.242066373589973e-06,0.7191996095717811,0.4471190188168788,1.047189136141592e-05
8.811461661363132e-06,0.815401859258122,0.4565739490765889,1.000536198945275e-05
1.08120373251941e-05,0.6278501123901715,0.3979972450398287,1.294164651355683e-05
8.587411286925116e-06,0.8786366984560104,0.5017170917130032,9.357876400672734e-06
1.131014056146734e-05,0.6883287234915182,0.423894363190384,1.181205636320195e-05
1.214345215106196e-05,0.6293545148079794,0.4245849490453363,1.334772216654782e-05
1.160263654269214e-05,0.6417686870304139,0.3981523137727456,1.328697474589406e-05
1.151472423057247e-05,0.7096731614892534,0.4230206010109825,1.268154193943692e-05
1.078982083645597e-05,0.7394178321583723,0.4340235591484284,1.134707757653632e-05
1.341913859754372e-05,0.5611573284970118,0.383498316989103,1.569562264767435e-05
1.444951961225866e-05,0.5538790155983266,0.3889390722692124,1.548185915366199e-05
1.293050847256861e-05,0.6398725575049897,0.4240158817626775,1.36414534501733e-05
1.576090501241637e-05,0.4744209011310065,0.3728350765254338,1.729950691036255e-05
1.345155244495282e-05,0.560842562949563,0.3991514467826902,1.547719647714181e-05
1.456183848099626e-05,0.4968202611554142,0.3692029813106976,1.670601033651223e-05
1.575205390537856e-05,0.4635048375404965,0.3649583742116602,1.784842175329137e-05
1.524918030865964e-05,0.4943317252164678,0.3854794452306084,1.753957733233101e-05
1.81608183992471e-05,0.4141960713123733,0.3718667805276077,2.02928000652006e-05
1.497919019355704e-05,0.501217932087017,0.3716749980819622,1.684998448884593e-05
1.487496953601438e-05,0.5158622483723633,0.4028437279235793,1.611977032476723e-05
1.679218662551184e-05,0.4340308344984108,0.3783408266841189,1.868169491708695e-05
1.527856412833585e-05,0.4928332788634958,0.3934429214606389,1.692784745761764e-05
1.291327672397704e-05,0.4908586733851035,0.4571124261054016,1.516348928294699e-05
1.155703157336348e-05,0.581571418418794,0.4987595813028727,1.353336541303068e-05
1.512897118345269e-05,0.446075233255586,0.4046762436642996,1.821607134499375e-05
1.545319689682697e-05,0.4664838960168916,0.3760670042967705,1.788123209615329e-05
1.359322857127177e-05,0.579077290484421,0.414763809947749,1.437658627925018e-05
1.494348228452697e-05,0.5120879292001836,0.3825365944160486,1.632272415812994e-05
1.126646911484504e-05,0.5958099736700819,0.4067451615763957,1.318343307690858e-05
1.341735128275609e-05,0.535171489257294,0.3801964608542872,1.556756251926119e-05
1.131124297587897e-05,0.7156953220046317,0.4401683136503927,1.222139265074902e-05
1.378097941151414e-05,0.5413138151279617,0.398483819940433,1.540794838017062e-05
1.887406640584501e-05,0.3511052325233868,0.5779957753620826,2.539882937178288e-05
8.434493207339669e-06,0.7637781263134225,0.4727995141740046,9.022786826361958e-06
8.991277065693272e-06,0.7843621305187838,0.5194823982712665,9.007980552173976e-06
1.073847352191507e-05,0.6034676161439798,0.4558163732522726,1.20351557085302e-05
9.958169071853374e-06,0.7153995286284537,0.5119152833900183,1.094305086784874e-05
9.729647428721311e-06,0.6075087723616741,0.5415153162345742,1.264803099847373e-05
1.227620575625844e-05,0.4598877074143344,0.3965902295849507,1.530031699796124e-05
1.423937662525453e-05,0.3747270024905572,0.3876640338323525,1.817414627030785e-05
1.916640752682949e-05,0.2991838867289652,0.3581057319078347,2.264757313637236e-05
1.684098620232437e-05,0.3084686205064824,0.3450829126201795,2.13140455182391e-05
1.776505326885849e-05,0.3106066188701914,0.3786377914354513,2.248530589176268e-05
1.481529642483962e-05,0.3705650228883045,0.3905023544224115,1.9330004674531e-05
1.340394457021084e-05,0.5352370131987904,0.4110862109252934,1.465491584596228e-05
9.63060205354519e-06,0.7367665657520681,0.4697194288463688,1.07247412274601e-05
9.55077810872141e-06,0.797575608287503,0.4871250561811367,9.82104691541372e-06
8.782765165379374e-06,0.9047200881055643,0.5142161641946598,8.83085374912836e-06
8.881588042872593e-06,0.8745309082594084,0.4914819548015388,9.597656646365608e-06
9.912359532202757e-06,0.6187989322338853,0.5007674379425568,1.275056683097689e-05
6.853189395441072e-06,1.002837736556055,0.5742598672926168,6.812862205938497e-06
6.741175604189921e-06,1.194605686604254,0.6337727529411701,6.350661858089683e-06
8.067322650204696e-06,0.8517238831204604,0.4678332030507875,8.567676359832448e-06
6.720312370882033e-06,1.04938009200028,0.5775850525322963,6.785503026010226e-06
6.012275121027177e-06,1.26304971757977,0.6804951315204171,5.620512519050167e-06
9.303774962520885e-06,0.7152124608144808,0.4283940460486501,1.090653914567061e-05
1.131657562308653e-05,0.5881733151027287,0.3963570586428709,1.332883010261475e-05
1.158015138588399e-05,0.5797050159759028,0.3715004133594451,1.388746831573744e-05
1.076625172928716e-05,0.669660978358722,0.394678482971312,1.196702849105064e-05
9.045934965207161e-06,0.7784147814716951,0.4668251725552433,1.029530244683688e-05
1.209712389833288e-05,0.5409700713554036,0.3560721150720133,1.500660524430481e-05
1.106773036669842e-05,0.628186062892809,0.3964922904478355,1.297960060765119e-05
1.123529480478985e-05,0.5800792157251852,0.397466995486054,1.347620152641722e-05
7.061390944854389e-06,1.096067844069189,0.5830616591457605,6.950471824133006e-06
1.033357096537956e-05,0.622863349117058,0.4050101875956805,1.266368075288724e-05
1.085647042961361e-05,0.6245024444975715,0.4125398833496663,1.234709811318875e-05
1.247888779396141e-05,0.4994233501456326,0.3438752226415768,1.521510126979895e-05
9.547184457127497e-06,0.7888083537995367,0.4205527045254238,1.053071812417016e-05
1.17863808871169e-05,0.616559122451205,0.3724686493724425,1.392465679370345e-05
1.003578398374022e-05,0.6918985278239372,0.4107469804238215,1.15878421729801e-05
8.803838841327007e-06,0.8438576612653969,0.4577512860613167,9.395344951755539e-06
1.201607210248491e-05,0.5598998218788264,0.3591496876535505,1.465881665650877e-05
9.557998327365802e-06,0.7066386717910059,0.4456898841498115,1.049603475142275e-05
1.07178430791534e-05,0.5684389595120738,0.4052543340765307,1.216438322669286e-05
9.487931750346871e-06,0.5607158908571686,0.3667306502102736,1.184143523097577e-05
1.41860996244845e-05,0.3275756783958573,0.5311440137159646,2.045917390391795e-05
1.474625793897102e-05,0.3045901932069201,0.7044435512322024,2.077253575166139e-05
1.19180771844014e-05,0.3733714953090285,0.6325397343438566,1.776651978472587e-05
1.249514639489007e-05,0.385591517183169,0.3746327982568429,1.574339893956509e-05
1.397702793646892e-05,0.3700167783491252,0.3566192531639493,1.832095735941349e-05
1.647304519917569e-05,0.2867537652006954,0.3565610187766337,1.966484649059748e-05
1.731597247673352e-05,0.294693790782904,0.3552049943630283,2.078634021303447e-05
1.565119029567494e-05,0.2924533568978486,0.3703101653240256,1.94065943702317e-05
1.423795425613414e-05,0.2712382683964653,0.3495019054746425,1.866530791700209e-05
9.623891740728525e-06,0.4504796450579268,0.3916423760063216,1.202044632880682e-05
9.818126362968872e-06,0.3542625460773262,0.4075100095025579,1.484194557915124e-05
1.582451692788456e-05,0.166811884046646,0.326710376866515,2.60399894050591e-05
1.291743315497933e-05,0.3047688494504639,0.352251401468101,1.791006414534658e-05
1.881153078568819e-05,0.1916062235199381,0.3353451413713757,2.486268111264151e-05
1.083394360688043e-05,0.4269273466088926,0.3787909709956202,1.40241728401842e-05
8.276862020089595e-06,0.3248789015576416,0.358498985307968,1.631557575790468e-05
1.213451324788962e-05,0.288934235904228,0.3319358138328585,1.750925411472603e-05
7.537403129625401e-06,0.4624687357974191,0.4978047460522986,1.040750637389543e-05
5.299285708791056e-06,0.7863939485879767,0.4794200281076202,6.134210613631273e-06
6.482537288565182e-06,0.6093952159882414,0.4102321200979393,8.451479698331419e-06
8.393208203177803e-06,0.3435874990115365,0.3465581024836847,1.472762956149936e-05
4.014827283632118e-06,1.263316347982737,0.7514135302402921,3.580967326407743e-06
5.708987380241309e-06,0.6685715579974393,0.4591367082453946,7.472603881023482e-06
3.51876282873613e-06,1.360843258881428,0.7960607322149138,3.203231812689072e-06
3.720283440695426e-06,1.245184574578818,0.7410122336623541,3.397993052997966e-06
8.10472139272374e-06,0.2800919015629565,0.2949295076449155,1.563669549523824e-05
9.076934804612977e-06,0.2796700788328182,0.3331002163121869,1.578695523189786e-05
9.758720304735605e-06,0.2693299016361418,0.3477626885171921,1.708773631559036e-05
4.420666938069637e-06,1.190279761043223,0.723515996743061,3.965416244965275e-06
1.211726220404421e-05,0.1914635371222052,0.3075977389051422,2.03802738582675e-05
1.065865791273265e-05,0.2450957555259742,0.3230597858668306,1.752345991496525e-05
8.48913692843109e-06,0.388804308051475,0.3832502122283295,1.251488493983066e-05
5.184765704254551e-06,0.9558391662988568,0.645664237063077,4.837326026052671e-06
4.923196358188793e-06,1.064526086931712,0.6753179506334583,4.460450965269891e-06
7.730821109922925e-06,0.425931424867719,0.3712014635149836,1.095072632833001e-05
4.606101461851136e-06,1.111329849037311,0.6999455317211184,4.301538763356328e-06
5.490391988247447e-06,0.8766274764919987,0.5481507683863638,5.811301789737943e-06
6.309054375620929e-06,0.4723923440903033,0.3544222001314522,1.012763165281673e-05
5.44986015004636e-06,0.9209932598341289,0.6314032353131024,5.327071507252469e-06
5.318728504404658e-06,0.9682958120540839,0.6706347569717003,5.044848751700883e-06
6.671235003521476e-06,0.7957302895704389,0.626954480571632,6.654830340056418e-06
5.58647688131406e-06,0.9096697098262755,0.6575806768851357,5.453284958959728e-06
5.700719122368455e-06,0.9504720283662715,0.6503571440912008,5.382854715078123e-06
5.867539974458395e-06,0.9070428168256446,0.6375759985554859,5.813499380670689e-06
5.768970846882937e-06,0.8865507112448737,0.6448531290667597,5.66076207834737e-06
6.357215260437022e-06,0.5591998403443109,0.4164781545213714,8.819223698883322e-06
5.372203969907007e-06,0.9280532337439376,0.632675332770518,5.123334842221048e-06
5.34782534176008e-06,0.959793993856125,0.6564399581669389,5.042587384875492e-06
5.602766912299624e-06,0.8775903663699817,0.6407587814405024,5.661301582864439e-06
5.320993026318293e-06,0.9373383390323448,0.6711232576715374,5.099331100858927e-06
7.945217825632427e-06,0.7395895767661546,0.61082092319446,7.655741604942185e-06
6.996836785330527e-06,0.8582780342723416,0.6207081488348722,7.223379012231051e-06
1.070029607199196e-05,0.4033664563951133,0.347431732653247,1.566478394881835e-05
1.356996542159705e-05,0.3635119869854548,0.3424288097159942,1.67521388820738e-05
1.188002762220303e-05,0.472043720845112,0.3528440824194525,1.534753025849687e-05
1.295180612205413e-05,0.4333695468231954,0.3649279335665808,1.505934557168688e-05
1.485183789337139e-05,0.2952948402696718,0.3644503619730924,1.738162824010642e-05
1.431230970639581e-05,0.3377940641185319,0.3578190157090851,1.650753247394405e-05
1.39056376205729e-05,0.3355787883957856,0.3472918674256024,1.786273354449952e-05
1.343877482913739e-05,0.3976995794622228,0.3738439620141092,1.606130297686037e-05
1.432945828852291e-05,0.347905863912445,0.3564954762413044,1.663504136855781e-05
1.300226368667325e-05,0.3467022985281337,0.3528193062641174,1.440673872852481e-05
1.32637730127686e-05,0.3313358389688265,0.357347681872406,1.526462766231886e-05
1.021658570461438e-05,0.5197130550058736,0.3997687077619739,1.19558315903838e-05
1.52540361560782e-05,0.3200932682587797,0.4527189453084355,2.122485363688228e-05
1.10507802276661e-05,0.4813556357852752,0.3990962448616645,1.258715502612249e-05
1.777905526586443e-05,0.3281294631785719,0.4194966557429655,2.109549532217706e-05
1.503704983685948e-05,0.3488374580049268,0.3566430664592124,1.858998101064424e-05
2.086273949732371e-05,0.3425584900422339,0.5507210131449354,2.453780953510311e-05
2.160203170067621e-05,0.3449200463503099,0.6166991855259933,2.360358222446966e-05
1.468056845079686e-05,0.408834559273094,0.3729697905033261,1.60813011441734e-05
1.427118519375715e-05,0.3595320687293977,0.3561506782112477,1.794386478567444e-05
