wavelet_mean,sample_entropy,shannon_entropy,rms,Label
3.38436185040613e-06,1.74892761818714,0.9146638533684333,3.217550668672593e-06,0
8.858662101951393e-06,1.198953056547872,0.8007437777910583,8.634264504147704e-06,1
1.19149237055848e-05,0.5673033004565011,0.4426766403514711,1.595923613025424e-05,0
1.281051359024903e-05,0.8714189236974523,0.4595599872108165,1.471892602458874e-05,0
3.968442173339701e-06,1.281305805317738,0.7817462654442895,4.399277915508021e-06,1
9.980040570817169e-06,0.7304886521452649,0.4469053538070326,1.139365249700832e-05,0
5.714084304613782e-06,1.31492586628664,0.6918496453964399,8.606700501380804e-06,1
6.45937365873727e-06,1.240182316046681,0.8039455277258633,6.281722828305786e-06,1
9.62090747419204e-06,0.8577639411735901,0.5103546599124944,1.120333517831174e-05,1
5.247884526485429e-06,1.480329731018375,0.8618791816356569,6.562909450970991e-06,1
1.947517080197908e-05,0.6185665884130738,0.5391054142205611,2.142229865850327e-05,1
4.137499191356724e-06,1.718220311257462,0.8767308191476572,4.970219780388901e-06,1
8.503684765124586e-06,0.9242380404858715,0.6048219592842045,1.209054945599113e-05,0
5.514722146142344e-06,0.963955168810464,0.7061995588420181,5.771117601182817e-06,1
2.567098984805097e-06,1.165083517883544,0.6557739246418651,2.506091820857609e-06,0
5.27764840165295e-06,1.009793220837635,0.5999026347115627,4.888474925850238e-06,0
3.505597552684511e-06,1.617962909171165,0.8866049722046168,3.197132446232189e-06,0
1.130594285695415e-05,1.307873736672106,0.7593198914334854,1.138436464391485e-05,0
1.304533589683139e-05,0.3436300987267339,0.4707115758512962,2.154311377007183e-05,0
5.937043148043689e-06,1.495220379708619,0.67958567367263,5.892007973799111e-06,0
2.4664465231391e-06,1.49897801760067,0.910717087712162,2.821967765788656e-06,1
1.022148439855692e-05,0.8026147046360583,0.6326040230166722,1.040827128665631e-05,0
3.131370411201609e-06,1.426484869544772,0.7455061165838353,3.200272342209147e-06,1
3.370060634060677e-06,1.672011221938164,0.930120757668838,4.010103850943569e-06,1
7.368967941433079e-06,1.095018905383522,0.646889651330955,1.091690693242506e-05,1
5.608099509932627e-06,0.8766502038354402,0.537464384073587,1.009861844344047e-05,0
7.361778820441189e-06,0.9071088112985538,0.6377383202891205,9.508547492071862e-06,0
3.196599983703403e-06,1.419523540590456,0.8528798370326562,2.970670226341998e-06,0
5.0055405190107e-06,1.528535874644692,0.8251641930541572,5.93688697617253e-06,1
3.092741118659964e-06,1.577781910951871,0.7838652245969469,3.028851286141092e-06,1
1.500811396302619e-05,1.028844453054232,0.6972347760939271,1.391262777755778e-05,1
2.376543631678696e-06,1.516586267333491,0.911011956465298,2.428031277544983e-06,0
4.147089774633315e-06,1.222630149081826,0.7963305314343293,4.203722118293904e-06,0
2.607453158942105e-06,1.49142158327546,0.8956332679415592,2.588720133674039e-06,0
5.754200055554451e-06,1.337408624470398,0.7966987552916105,5.433086404706329e-06,1
1.827963510536745e-05,0.247819476911106,0.8724428262049768,3.805729900655982e-05,1
1.022094481572408e-05,0.78138608055424,0.4418936768898999,1.811136426785108e-05,1
5.807440365769816e-06,0.9406185498721868,0.5949419187076355,5.328798018721664e-06,0
3.519099001022522e-06,1.59890077328993,0.8247487292320326,3.980583908061616e-06,0
4.509589559758961e-06,1.42002332835287,0.8640636050513915,4.673848451064342e-06,0
3.147966760527226e-05,0.3297496663221837,0.5555058510200933,3.617126122825415e-05,0
2.731354575274958e-05,0.4474013522602392,0.5288123311799827,4.188330412247578e-05,0
1.412495688804599e-05,0.8394990512663226,0.7438270585376564,1.850682813948766e-05,1
7.383378946207285e-06,0.6316240665234372,0.5478314214793115,1.546200283799931e-05,1
9.67641927640739e-06,1.227218005969771,0.7678825532291813,9.215322632559378e-06,1
6.015797519169587e-06,1.266558019301534,0.8134602634430277,6.137798252694876e-06,0
2.606067612343761e-06,1.59615693278065,0.9002300124593287,2.917028477720323e-06,1
8.054392465267022e-06,0.3312232326864663,0.3896975802237659,1.555101911026719e-05,0
1.175740065982925e-05,0.1404321697401144,0.3608750768110511,1.890492151214712e-05,0
1.929807647284386e-05,0.5156306404932209,0.5622962046622305,2.270465516337116e-05,1
9.672001817294695e-06,1.331706338168421,0.7405149407498659,8.487495363308844e-06,1
4.575038130798983e-06,1.685437347427493,0.8442100044668555,4.926560320460651e-06,1
3.877001560457171e-06,1.562945702028214,0.9069543757959132,3.824150538318277e-06,1
5.714188375639402e-06,1.401843503381657,0.7490658681408677,5.423498239033863e-06,0
1.319234491051281e-05,0.8112028864610578,0.5041537873152515,1.216331640467521e-05,0
4.167547733783263e-06,1.763333119877387,0.8870819534364796,4.962466640331348e-06,1
